,sampleID
581,speaker000_0019
582,speaker000_0550
583,speaker000_0529
584,speaker000_0771
585,speaker000_1357
586,speaker000_1297
587,speaker000_1156
588,speaker000_0371
589,speaker000_0423
590,speaker000_0855
591,speaker000_0712
592,speaker000_1118
593,speaker000_0119
594,speaker000_0224
595,speaker000_1300
596,speaker000_1496
597,speaker000_0856
598,speaker000_0094
599,speaker000_0408
600,speaker000_1429
601,speaker000_1205
602,speaker000_0350
603,speaker000_0267
604,speaker000_0528
605,speaker000_1172
606,speaker000_0406
607,speaker000_1113
608,speaker000_0027
609,speaker000_0698
610,speaker000_0432
611,speaker000_1246
612,speaker000_1418
613,speaker000_0814
614,speaker000_0105
615,speaker000_0867
616,speaker000_0994
617,speaker000_0274
618,speaker000_0740
619,speaker000_1277
620,speaker000_0444
621,speaker000_0616
622,speaker000_0193
623,speaker000_0066
624,speaker000_0125
625,speaker000_0779
626,speaker000_0806
627,speaker000_0998
628,speaker000_0722
629,speaker000_1456
630,speaker000_0092
631,speaker000_0560
632,speaker000_1443
633,speaker000_0708
634,speaker000_0304
635,speaker000_1230
636,speaker000_1478
637,speaker000_1383
638,speaker000_1332
639,speaker000_0051
640,speaker000_0221
641,speaker000_0024
642,speaker000_1446
643,speaker000_0880
644,speaker000_0968
645,speaker000_1111
646,speaker000_0430
647,speaker000_0543
648,speaker000_0756
649,speaker000_0733
650,speaker000_0495
651,speaker000_0497
652,speaker000_1142
653,speaker000_0207
654,speaker000_0705
655,speaker000_0254
656,speaker000_1024
657,speaker000_0396
658,speaker000_1220
659,speaker000_1434
660,speaker000_0533
661,speaker000_1424
662,speaker000_0899
663,speaker000_1457
664,speaker000_0315
665,speaker000_0614
666,speaker000_1183
667,speaker000_0113
668,speaker000_0829
669,speaker000_0687
670,speaker000_0650
671,speaker000_1204
672,speaker000_0694
673,speaker000_0140
674,speaker000_0170
675,speaker000_0784
676,speaker000_0104
677,speaker000_0036
678,speaker000_0272
679,speaker000_1306
680,speaker000_1385
681,speaker000_0493
682,speaker000_0621
683,speaker000_0141
684,speaker000_1137
685,speaker000_1178
686,speaker000_0936
687,speaker000_0401
688,speaker000_0266
689,speaker000_0210
690,speaker000_1035
691,speaker000_1019
692,speaker000_1479
693,speaker000_0107
694,speaker000_0745
695,speaker000_0688
696,speaker000_1242
697,speaker000_1201
698,speaker000_1329
699,speaker000_1000
700,speaker000_0294
701,speaker000_0729
702,speaker000_0009
703,speaker000_0981
704,speaker000_0537
705,speaker000_0837
706,speaker000_0978
707,speaker000_0699
708,speaker000_0696
709,speaker000_0584
710,speaker000_1352
711,speaker000_0229
712,speaker000_0213
713,speaker000_1430
714,speaker000_0815
715,speaker000_0195
716,speaker000_1301
717,speaker000_0871
718,speaker000_0040
719,speaker000_1200
720,speaker000_0797
721,speaker000_0369
722,speaker000_1504
723,speaker000_0805
724,speaker000_1259
725,speaker000_0395
726,speaker000_0374
727,speaker000_0987
728,speaker000_0681
729,speaker000_1312
730,speaker000_0632
731,speaker000_0559
732,speaker000_0778
733,speaker000_0494
734,speaker000_1495
735,speaker000_0672
736,speaker000_1421
737,speaker000_0844
738,speaker000_0578
739,speaker000_0997
740,speaker000_0502
741,speaker000_0515
742,speaker000_1326
743,speaker000_1203
744,speaker000_0686
745,speaker000_0475
746,speaker000_0691
747,speaker000_0574
748,speaker000_1125
749,speaker000_0247
750,speaker000_0843
751,speaker000_0746
752,speaker000_0514
753,speaker000_0015
754,speaker000_0316
755,speaker000_0309
756,speaker000_1254
757,speaker000_0631
758,speaker000_1386
759,speaker000_1513
760,speaker000_0031
761,speaker000_0640
762,speaker000_0132
763,speaker000_1126
764,speaker000_0237
765,speaker000_0320
766,speaker000_1154
767,speaker000_1387
768,speaker000_0234
769,speaker000_0377
770,speaker000_0109
771,speaker000_0181
772,speaker000_0013
773,speaker000_0505
774,speaker000_0790
775,speaker000_1070
776,speaker000_1086
777,speaker000_0302
778,speaker000_0343
779,speaker000_0761
780,speaker000_0245
781,speaker000_1155
782,speaker000_0938
783,speaker000_1081
784,speaker000_1372
785,speaker000_1324
786,speaker000_0830
787,speaker000_0238
788,speaker000_1122
789,speaker000_1028
790,speaker000_0831
791,speaker000_0959
792,speaker000_0357
793,speaker000_0709
794,speaker000_0336
795,speaker000_0360
796,speaker000_0848
797,speaker000_1186
798,speaker000_1492
799,speaker000_1161
800,speaker000_0367
801,speaker000_1089
802,speaker000_0003
803,speaker000_0674
804,speaker000_1416
805,speaker000_1499
806,speaker000_1273
807,speaker000_0768
808,speaker000_0100
809,speaker000_0085
810,speaker000_0789
811,speaker000_0356
812,speaker000_1518
813,speaker000_0089
814,speaker000_0602
815,speaker000_1182
816,speaker000_0050
817,speaker000_0723
818,speaker000_0381
819,speaker000_0152
820,speaker000_0946
821,speaker000_1511
822,speaker000_0458
823,speaker000_0876
824,speaker000_0610
825,speaker000_1055
826,speaker000_0777
827,speaker000_0491
828,speaker000_0661
829,speaker000_0982
830,speaker000_0803
831,speaker000_0169
832,speaker000_0295
833,speaker000_1458
834,speaker000_1063
835,speaker000_0260
836,speaker000_1194
837,speaker000_0799
838,speaker000_1359
839,speaker000_0706
840,speaker000_1371
841,speaker000_1461
842,speaker000_1500
843,speaker000_0185
844,speaker000_1096
845,speaker000_0984
846,speaker000_1468
847,speaker000_1244
848,speaker000_0854
849,speaker000_0750
850,speaker000_0766
851,speaker000_1510
852,speaker000_0933
853,speaker000_0820
854,speaker000_0225
855,speaker000_0211
856,speaker000_0893
857,speaker000_0977
858,speaker000_0720
859,speaker000_1445
860,speaker000_0579
861,speaker000_0167
862,speaker000_0707
863,speaker000_0522
864,speaker000_0562
865,speaker000_1343
866,speaker000_0626
867,speaker000_1393
868,speaker000_0095
869,speaker000_1195
870,speaker000_0292
871,speaker000_0010
872,speaker000_0947
873,speaker000_1050
874,speaker000_0736
875,speaker000_1233
876,speaker000_0112
877,speaker000_0599
878,speaker000_1400
879,speaker000_0689
880,speaker000_0841
881,speaker000_1388
882,speaker000_0669
883,speaker000_1135
884,speaker000_0239
885,speaker000_1144
886,speaker000_1229
887,speaker000_0656
888,speaker000_0583
889,speaker000_1093
890,speaker000_1025
891,speaker000_0081
892,speaker000_0319
893,speaker000_1128
894,speaker000_1130
895,speaker000_0102
896,speaker000_1080
897,speaker000_0785
898,speaker000_0561
899,speaker000_1278
900,speaker000_0029
901,speaker000_1330
902,speaker000_0103
903,speaker000_1465
904,speaker000_0223
905,speaker000_0873
906,speaker000_0461
907,speaker000_1134
908,speaker000_0269
909,speaker000_0061
910,speaker000_1353
911,speaker000_0597
912,speaker000_1345
913,speaker000_0955
914,speaker000_1058
915,speaker000_1190
916,speaker000_1234
917,speaker000_0527
918,speaker000_0639
919,speaker000_0647
920,speaker000_0915
921,speaker000_0030
922,speaker000_0986
923,speaker000_1432
924,speaker000_1010
925,speaker000_1509
926,speaker000_0605
927,speaker000_0190
928,speaker000_0240
929,speaker000_0942
930,speaker000_0097
931,speaker000_1090
932,speaker000_0335
933,speaker000_0045
934,speaker000_0298
935,speaker000_1109
936,speaker000_1437
937,speaker000_0919
938,speaker000_1008
939,speaker000_0118
940,speaker000_0000
941,speaker000_1082
942,speaker000_0253
943,speaker000_0917
944,speaker000_0948
945,speaker000_1005
946,speaker000_0518
947,speaker000_1455
948,speaker000_0287
949,speaker000_1023
950,speaker000_0441
951,speaker000_1503
952,speaker000_0965
953,speaker000_1228
954,speaker000_1487
955,speaker000_0554
956,speaker000_0365
957,speaker000_1498
958,speaker000_1077
959,speaker000_0179
960,speaker000_1363
961,speaker000_1169
962,speaker000_0420
963,speaker000_0787
964,speaker000_0434
965,speaker000_1316
966,speaker000_0317
967,speaker000_0301
968,speaker000_0737
969,speaker000_0929
970,speaker000_0393
971,speaker000_0827
972,speaker000_0147
973,speaker000_1481
974,speaker000_0055
975,speaker000_0759
976,speaker000_0763
977,speaker000_1198
978,speaker000_0271
979,speaker000_1257
980,speaker000_0082
981,speaker000_1235
982,speaker000_0338
983,speaker000_0594
984,speaker000_0572
985,speaker000_0697
986,speaker000_0439
987,speaker000_1048
988,speaker000_1071
989,speaker000_0231
990,speaker000_1044
991,speaker000_1423
992,speaker000_0176
993,speaker000_0296
994,speaker000_0902
995,speaker000_0665
996,speaker000_0895
997,speaker000_0693
998,speaker000_0877
999,speaker000_0106
1000,speaker000_1102
1001,speaker000_1224
1002,speaker000_0950
1003,speaker000_1208
1004,speaker000_1425
1005,speaker000_0407
1006,speaker000_1517
1007,speaker000_0305
1008,speaker000_0380
1009,speaker000_1327
1010,speaker000_0035
1011,speaker000_1485
1012,speaker000_1062
1013,speaker000_0540
1014,speaker000_0161
1015,speaker000_1272
1016,speaker000_0901
1017,speaker000_1304
1018,speaker000_1459
1019,speaker000_0479
1020,speaker000_1247
1021,speaker000_1255
1022,speaker000_0556
1023,speaker000_1016
1024,speaker000_0398
1025,speaker000_0890
1026,speaker000_0692
1027,speaker002_0694
1028,speaker002_0704
1029,speaker002_0475
1030,speaker002_0705
1031,speaker002_0687
1032,speaker002_0173
1033,speaker002_0573
1034,speaker002_0003
1035,speaker002_0420
1036,speaker002_0676
1037,speaker002_0314
1038,speaker002_0329
1039,speaker002_0582
1040,speaker002_0653
1041,speaker002_0121
1042,speaker002_0495
1043,speaker002_0514
1044,speaker002_0155
1045,speaker002_0299
1046,speaker002_0581
1047,speaker002_0470
1048,speaker002_0767
1049,speaker002_0210
1050,speaker002_0416
1051,speaker002_0049
1052,speaker002_0504
1053,speaker002_0641
1054,speaker002_0118
1055,speaker002_0249
1056,speaker002_0091
1057,speaker002_0675
1058,speaker002_0592
1059,speaker002_0370
1060,speaker002_0640
1061,speaker002_0284
1062,speaker002_0538
1063,speaker002_0191
1064,speaker002_0737
1065,speaker002_0179
1066,speaker002_0483
1067,speaker002_0364
1068,speaker002_0685
1069,speaker002_0468
1070,speaker002_0061
1071,speaker002_0590
1072,speaker002_0570
1073,speaker002_0202
1074,speaker002_0053
1075,speaker002_0291
1076,speaker002_0047
1077,speaker002_0588
1078,speaker002_0394
1079,speaker002_0350
1080,speaker002_0007
1081,speaker002_0443
1082,speaker002_0500
1083,speaker002_0000
1084,speaker002_0423
1085,speaker002_0380
1086,speaker002_0188
1087,speaker002_0067
1088,speaker002_0602
1089,speaker002_0340
1090,speaker002_0308
1091,speaker002_0036
1092,speaker002_0419
1093,speaker002_0099
1094,speaker002_0699
1095,speaker002_0809
1096,speaker002_0306
1097,speaker002_0325
1098,speaker002_0322
1099,speaker002_0084
1100,speaker002_0686
1101,speaker002_0791
1102,speaker002_0018
1103,speaker002_0215
1104,speaker002_0615
1105,speaker002_0577
1106,speaker002_0311
1107,speaker002_0725
1108,speaker002_0228
1109,speaker002_0126
1110,speaker002_0381
1111,speaker002_0695
1112,speaker002_0004
1113,speaker002_0646
1114,speaker002_0377
1115,speaker002_0749
1116,speaker002_0226
1117,speaker002_0001
1118,speaker002_0607
1119,speaker002_0320
1120,speaker002_0481
1121,speaker002_0393
1122,speaker002_0762
1123,speaker002_0368
1124,speaker002_0387
1125,speaker002_0372
1126,speaker002_0274
1127,speaker002_0097
1128,speaker002_0068
1129,speaker002_0491
1130,speaker002_0358
1131,speaker002_0752
1132,speaker002_0037
1133,speaker002_0085
1134,speaker002_0546
1135,speaker002_0227
1136,speaker002_0444
1137,speaker002_0294
1138,speaker002_0289
1139,speaker002_0585
1140,speaker002_0385
1141,speaker002_0088
1142,speaker002_0255
1143,speaker002_0066
1144,speaker002_0110
1145,speaker002_0123
1146,speaker002_0366
1147,speaker002_0665
1148,speaker002_0486
1149,speaker002_0528
1150,speaker002_0692
1151,speaker002_0285
1152,speaker002_0579
1153,speaker002_0064
1154,speaker002_0296
1155,speaker002_0771
1156,speaker002_0341
1157,speaker002_0467
1158,speaker002_0108
1159,speaker002_0433
1160,speaker002_0177
1161,speaker002_0484
1162,speaker002_0384
1163,speaker002_0818
1164,speaker002_0756
1165,speaker002_0214
1166,speaker002_0739
1167,speaker002_0141
1168,speaker002_0139
1169,speaker002_0813
1170,speaker002_0257
1171,speaker002_0459
1172,speaker002_0574
1173,speaker002_0376
1174,speaker002_0192
1175,speaker002_0714
1176,speaker002_0784
1177,speaker002_0654
1178,speaker002_0354
1179,speaker002_0816
1180,speaker002_0046
1181,speaker002_0395
1182,speaker002_0571
1183,speaker002_0507
1184,speaker002_0266
1185,speaker002_0566
1186,speaker002_0716
1187,speaker002_0718
1188,speaker002_0044
1189,speaker002_0732
1190,speaker002_0480
1191,speaker002_0055
1192,speaker002_0572
1193,speaker002_0167
1194,speaker002_0041
1195,speaker002_0111
1196,speaker002_0638
1197,speaker002_0473
1198,speaker002_0648
1199,speaker002_0595
1200,speaker002_0373
1201,speaker002_0201
1202,speaker002_0388
1203,speaker002_0659
1204,speaker002_0025
1205,speaker002_0359
1206,speaker002_0451
1207,speaker002_0013
1208,speaker002_0506
1209,speaker002_0586
1210,speaker002_0101
1211,speaker002_0776
1212,speaker002_0075
1213,speaker002_0114
1214,speaker002_0054
1215,speaker002_0042
1216,speaker002_0650
1217,speaker002_0461
1218,speaker002_0790
1219,speaker002_0081
1220,speaker002_0808
1221,speaker002_0050
1222,speaker002_0283
1223,speaker002_0346
1224,speaker002_0297
1225,speaker002_0751
1226,speaker002_0124
1227,speaker002_0397
1228,speaker002_0115
1229,speaker002_0152
1230,speaker002_0161
1231,speaker002_0200
1232,speaker002_0677
1233,speaker002_0144
1234,speaker002_0622
1235,speaker002_0293
1236,speaker002_0185
1237,speaker002_0335
1238,speaker002_0213
1239,speaker002_0619
1240,speaker002_0759
1241,speaker002_0530
1242,speaker002_0611
1243,speaker002_0219
1244,speaker002_0455
1245,speaker002_0671
1246,speaker002_0589
1247,speaker002_0347
1248,speaker002_0661
1249,speaker002_0445
1250,speaker002_0719
1251,speaker002_0303
1252,speaker002_0020
1253,speaker002_0212
1254,speaker002_0729
1255,speaker002_0288
1256,speaker002_0408
1257,speaker002_0534
1258,speaker002_0317
1259,speaker002_0449
1260,speaker002_0400
1261,speaker002_0551
1262,speaker002_0158
1263,speaker002_0740
1264,speaker002_0485
1265,speaker002_0253
1266,speaker002_0363
1267,speaker002_0029
1268,speaker002_0601
1269,speaker002_0079
1270,speaker002_0731
1271,speaker002_0365
1272,speaker002_0666
1273,speaker002_0205
1274,speaker002_0435
1275,speaker002_0783
1276,speaker002_0102
1277,speaker002_0674
1278,speaker002_0206
1279,speaker002_0805
1280,speaker002_0113
1281,speaker002_0336
1282,speaker002_0498
1283,speaker002_0332
1284,speaker002_0343
1285,speaker002_0186
1286,speaker002_0748
1287,speaker002_0310
1288,speaker002_0104
1289,speaker002_0750
1290,speaker002_0290
1291,speaker002_0065
1292,speaker002_0755
1293,speaker002_0051
1294,speaker002_0417
1295,speaker002_0712
1296,speaker002_0610
1297,speaker002_0427
1298,speaker002_0076
1299,speaker002_0424
1300,speaker002_0634
1301,speaker002_0544
1302,speaker002_0028
1303,speaker002_0565
1304,speaker002_0442
1305,speaker002_0195
1306,speaker002_0073
1307,speaker002_0386
1308,speaker002_0697
1309,speaker002_0815
1310,speaker002_0349
1311,speaker002_0026
1312,speaker002_0778
1313,speaker002_0727
1314,speaker002_0644
1315,speaker002_0245
1316,speaker002_0162
1317,speaker002_0014
1318,speaker002_0684
1319,speaker002_0587
1320,speaker002_0561
1321,speaker002_0795
1322,speaker002_0660
1323,speaker002_0637
1324,speaker002_0086
1325,speaker002_0313
1326,speaker002_0708
1327,speaker002_0512
1328,speaker002_0438
1329,speaker002_0497
1330,speaker002_0138
1331,speaker002_0736
1332,speaker002_0071
1333,speaker002_0353
1334,speaker002_0683
1335,speaker002_0709
1336,speaker002_0763
1337,speaker002_0178
1338,speaker002_0150
1339,speaker002_0482
1340,speaker002_0688
1341,speaker002_0267
1342,speaker002_0701
1343,speaker002_0801
1344,speaker002_0022
1345,speaker002_0639
1346,speaker002_0600
1347,speaker002_0545
1348,speaker002_0774
1349,speaker002_0779
1350,speaker002_0612
1351,speaker002_0223
1352,speaker002_0153
1353,speaker002_0362
1354,speaker002_0396
1355,speaker002_0183
1356,speaker002_0006
1357,speaker002_0436
1358,speaker002_0045
1359,speaker002_0407
1360,speaker002_0371
1361,speaker002_0806
